Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
277,0,0,191,0,968,856,28,25.96566616
359,19,141,154,10.91,942,801,3,25.11662572
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
366,187,0,191,7,824,757,28,65.90701084
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715896
236,0,0,194,0,968,885,28,18.41590396
387,20,94,157,14.32,938,845,7,36.83870268
500,0,0,200,0,1125,613,1,12.63809508
287,121,94,188,9,904,696,28,41.94082508
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
339,0,0,197,0,968,781,90,35.17017076
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
446,24,79,162,11.64,967,712,56,55.25460664
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
166.8,250.2,0,203.5,0,975.6,692.6,7,15.74832132
141.3,212,0,203.5,0,971.8,748.5,7,10.3938507
310,143,0,168,10,914,804,28,45.2985732
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
339,0,0,185,0,1069,754,7,21.16001844
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356
288,192,0,192,0,932,717.8,3,16.10960674
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
380,95,0,228,0,932,594,180,40.75906322
480,0,0,192,0,936.2,712.2,7,34.56963716
305.3,203.5,0,203.5,0,965.4,631,7,25.89396066
296,0,0,192,0,1085,765,90,29.39236188
475,0,0,228,0,932,594,180,42.62064842
446,24,79,162,10.3,967,712,56,54.76507868
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
108.3,162.4,0,203.5,0,938.2,849,7,7.723510152
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43165204
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46103971
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848
160,188,146,203,11,829,710,28,32.83974188
192,288,0,192,0,929.8,716.1,28,39.32150576
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29092896
304,76,0,228,0,932,670,270,54.37828264
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
295,0,0,185,0,1069,769,28,25.17966352
359,19,141,154,10.91,942,801,56,68.75060685
157,236,0,192,0,935.4,781.2,3,9.694722036
331,0,0,192,0,978,825,90,37.231704
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
382,0,0,186,0,1047,739,28,37.42475728
158,0,195,220,11,898,713,28,8.53571288
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
427.5,47.5,0,228,0,932,594,270,43.01296026
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
325,0,0,184,0,1063,783,28,30.57136584
102,153,0,192,0,887,942,28,17.27551066
480,0,0,192,0,936,721,3,24.39366088
236,157,0,192,0,972.6,749.1,3,13.5654403
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20035777
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72046253
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44363293
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03393426
446,24,79,162,11.64,967,712,7,38.01770664
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256
350,0,0,203,0,974,775,7,18.12632404
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
139.6,209.4,0,192,0,1047,806.9,90,39.35804798
310,142.8,0,167.9,10,914.3,804,28,45.30477848
